id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Expected Goals (xG)_home,Expected Goals (xG)_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,result
voYH3rU2,10.04.2023 19:30,Karagumruk,Fenerbahce,1,2,36%,64%,8,11,4,4,2,3,2,4,17,20,1,4,4,2,23,23,2,3,16,15,70,110,38,72,0,0,1,1,1.35,1.51,372,652,275,567,18,11,A
QTd1aTxH,10.04.2023 15:00,Kayserispor,Umraniyespor,3,1,46%,54%,18,20,5,5,8,6,5,9,15,35,5,7,1,1,17,17,4,2,22,12,86,107,60,78,0,1,4,4,2.82,2.42,363,426,288,346,9,17,H
IyXL22q9,09.04.2023 19:30,Besiktas,Giresunspor,3,1,54%,46%,16,8,10,1,4,6,2,1,10,19,7,3,3,0,18,17,0,7,16,11,96,86,87,60,0,0,2,4,1.85,1.16,479,402,392,290,20,14,H
KUEZtLMk,09.04.2023 19:00,Adana Demirspor,Gaziantep,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
CbWP1MbF,09.04.2023 19:00,Alanyaspor,Hatayspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
EiEwtuxd,09.04.2023 15:00,Sivasspor,Basaksehir,1,1,47%,53%,11,7,5,2,5,3,1,2,18,20,7,2,3,2,30,23,1,4,14,10,101,81,64,56,0,0,2,0,0.72,0.57,409,472,320,376,7,14,D
6RAVs17q,08.04.2023 19:30,Kasimpasa,Trabzonspor,2,0,41%,59%,15,11,7,3,6,5,2,3,11,19,5,5,3,2,19,26,3,5,17,10,82,77,51,60,0,0,,,1.89,1.23,378,530,288,428,10,14,H
hrDsuai2,08.04.2023 15:00,Ankaragucu,Istanbulspor AS,3,2,52%,48%,9,13,6,8,3,4,0,1,17,22,8,4,6,0,21,24,6,3,16,17,83,73,60,54,0,0,1,4,0.71,1.79,417,381,321,282,28,17,H
nwbc09NA,07.04.2023 19:30,Konyaspor,Antalyaspor,1,1,46%,54%,11,9,3,2,7,5,1,2,14,18,6,4,4,0,30,21,1,2,13,14,109,106,65,55,0,0,2,3,1.56,0.83,413,480,318,388,15,15,D
YZXNoA8H,03.04.2023 19:30,Istanbulspor AS,Karagumruk,0,1,52%,48%,11,11,3,5,5,2,3,4,19,14,8,3,2,0,18,15,4,3,11,19,79,97,68,42,0,1,5,3,0.87,0.76,506,474,417,385,13,15,A
