id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
W23zvbad,21.01.2024 14:00,Fenerbahce,Samsunspor,1,1,2.51,0.28,62%,38%,21,6,7,4,11,1,3,1,14,10,8,1,3,0,23,27,3,6,7,14,1,3,131,85,65,28,0,0,D
tYpR0L69,21.01.2024 14:00,Konyaspor,Antalyaspor,1,1,0.54,1.22,40%,60%,8,12,2,1,5,10,1,1,11,10,5,4,2,0,22,27,0,1,8,11,2,3,96,86,40,36,0,0,D
KIdI2sxc,21.01.2024 11:30,Sivasspor,Gaziantep,2,2,1.63,2.20,45%,55%,14,15,5,7,4,3,5,5,15,9,3,5,0,2,21,16,5,3,9,15,3,5,92,90,25,48,0,1,D
lblZbayM,20.01.2024 17:00,Adana Demirspor,Ankaragucu,1,1,1.56,1.26,50%,50%,12,9,4,3,5,4,3,2,18,13,6,5,4,3,17,23,2,3,11,13,1,1,85,92,39,35,0,0,D
fykVauMF,20.01.2024 17:00,Pendikspor,Besiktas,4,0,1.12,1.50,36%,64%,9,17,5,4,4,9,0,4,14,14,1,6,4,3,12,20,4,1,10,11,1,2,75,117,31,53,0,0,H
SlmwbJjS,20.01.2024 14:00,Alanyaspor,Rizespor,2,1,2.03,0.97,55%,45%,23,17,5,3,9,8,9,6,10,12,8,4,3,1,27,16,2,3,9,9,4,0,96,70,64,35,0,0,H
b9eM11i3,20.01.2024 14:00,Karagumruk,Basaksehir,1,1,1.02,1.77,41%,59%,14,16,5,6,4,8,5,2,17,17,4,3,1,2,20,15,5,4,16,13,3,2,91,94,38,56,1,0,D
lp90p0MS,20.01.2024 11:30,Kasimpasa,Hatayspor,3,0,1.10,1.12,53%,47%,16,5,4,2,4,1,8,2,14,5,5,7,0,4,15,20,2,1,5,10,1,2,111,63,49,32,0,0,H
ngEHp9GB,15.01.2024 18:00,Galatasaray,Kayserispor,2,1,2.70,1.65,60%,40%,29,10,8,3,11,5,10,2,17,8,8,5,3,3,16,18,2,6,7,17,1,6,150,94,99,51,0,0,H
beGmm2xA,14.01.2024 17:00,Gaziantep,Fenerbahce,0,1,0.28,1.94,37%,63%,5,17,4,6,1,7,0,4,10,12,4,10,0,2,22,28,5,4,14,8,3,2,61,104,38,90,0,0,A
