id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
6Z8agZJS,17.07.2022 18:30,El Gouna,El Gaish,2,1,51%,49%,10,2,3,1,1,0,6,1,12,11,4,6,1,4,17,26,0,1,11,8,4,0,336,333,255,246,17,18,95,112,44,54,0,1,H
8reRlgSq,17.07.2022 18:30,Smouha,National Bank Egypt,0,1,52%,48%,13,9,4,3,8,4,1,2,19,10,7,4,2,6,25,21,2,4,11,17,3,1,355,337,260,238,13,15,96,88,73,50,0,0,A
QNi2fF4M,16.07.2022 21:00,Pyramids,Al Ahly,2,0,40%,60%,11,6,4,3,4,2,3,1,12,15,4,4,4,4,13,23,3,2,12,11,1,4,372,571,277,456,16,11,93,133,46,60,0,0,H
hAgfdyzA,16.07.2022 18:30,Future FC,El Ismaily,1,2,51%,49%,8,14,4,5,4,7,0,2,8,14,6,2,1,3,20,20,3,3,14,6,1,1,352,336,270,264,27,17,86,107,44,54,0,0,A
nXhbeekG,16.07.2022 18:30,Ghazl El Mahallah,Zamalek,0,2,44%,56%,16,12,6,5,6,3,4,4,13,20,7,7,3,1,13,19,3,6,20,12,4,1,347,429,273,338,18,18,95,116,65,67,0,0,A
v7kjcHK3,14.07.2022 21:00,Ceramica Cleopatra,Al Ittihad,5,0,40%,60%,10,18,7,4,2,8,1,6,13,8,3,8,0,5,14,23,4,2,10,10,2,2,351,530,242,429,18,10,79,121,42,80,0,0,H
dr0obc5c,14.07.2022 18:30,Eastern Company,Misr Lel Makkasa,2,1,39%,61%,11,12,6,4,4,3,1,5,13,11,5,3,1,2,22,30,3,4,14,12,3,0,222,359,130,247,30,9,90,121,43,68,0,0,H
Ii1sawji,13.07.2022 21:00,Enppi,El Gouna,2,2,46%,54%,10,8,3,2,6,3,1,3,17,17,4,3,2,6,22,27,0,1,19,11,3,3,331,386,237,295,14,29,89,106,44,58,0,0,D
Uy8azfDj,13.07.2022 18:30,Al Masry,Pharco,0,0,56%,44%,10,7,1,1,3,4,6,2,29,17,6,2,1,1,22,20,1,1,15,27,2,3,344,283,262,189,15,13,106,88,60,31,0,0,D
jo9eyzbp,13.07.2022 18:30,El Ismaily,Smouha,1,0,66%,34%,21,6,6,2,7,1,8,3,12,18,15,2,1,1,13,14,2,5,17,12,3,3,440,231,362,148,16,14,110,90,81,37,0,1,H
